seed,steps,reached_target,final_coverage,total_distance,final_redundancy,mean_redundancy,total_reward,mean_reward,mean_alpha,mean_beta,mean_gamma,mean_delta,checkpoint
101,568,True,90.06,2840.0,88.79139752828287,87.23525063593408,669.8086024717169,1.1792404973093606,0.4684775158710463,0.9923576972329281,0.2428726633358091,0.0,ppo_75k
102,550,True,90.14999999999999,2750.0,88.36894256076792,87.1754373467358,675.631057439231,1.2284201044349654,0.4806137713248079,0.9924306884137067,0.23552423463118347,0.0,ppo_75k
103,568,True,90.14,2840.0,88.80484866549921,87.4771167747341,670.5951513345015,1.1806252664339814,0.4433727303755955,0.9946058707337984,0.25444709211030425,0.0,ppo_75k
104,643,True,90.03999999999999,3215.0,90.06082281904384,88.64226200199445,649.5891771809552,1.0102475539361666,0.4598465214250247,0.9918804361975954,0.2478875957623495,0.0,ppo_75k
101,546,True,90.10000000000001,2730.0,88.30993590575291,87.74700050648683,676.1900640942476,1.2384433408319553,0.8359898279929335,0.9922797902872711,0.16770886227952472,0.0,ppo_100k
102,605,True,90.02,3025.0,89.43848698876036,88.79238765033985,659.5115130112392,1.0901016743987426,0.8332471334983494,0.9933703128463965,0.20008710157280127,0.0,ppo_100k
103,539,True,90.05,2695.0,88.26266602364412,87.93420189323805,677.4873339763559,1.256933829269677,0.827481468693666,0.9944808854132282,0.18993716264672314,0.0,ppo_100k
104,623,True,90.07,3115.0,89.82708185093574,89.34705346466188,655.122918149065,1.0515616663708909,0.8255136628690539,0.9919211488713422,0.1992699241095236,0.0,ppo_100k
101,498,True,90.03999999999999,2490.0,87.34184333352077,86.32732647673623,688.5581566664789,1.3826469009367046,0.6420552969263141,0.9757336422382109,0.2609880268573761,0.10493807159139808,ppo_50k
102,567,True,90.09,2835.0,88.76585238113053,87.08068756449579,670.3841476188696,1.1823353573525037,0.6515901929335882,0.9807994275286505,0.26560782315743336,0.1116856191351655,ppo_50k
103,492,True,90.02,2460.0,87.11090747687638,86.271245666526,690.0890925231229,1.4026201067543147,0.6339245273360634,0.9706212790395187,0.2574072982699466,0.10033252730216013,ppo_50k
104,509,True,90.0,2545.0,87.41452363971976,86.88638371143513,685.3354763602812,1.3464351205506506,0.6380215121180639,0.9711853019849256,0.2601152072497781,0.10734673443914543,ppo_50k
101,951,True,90.0,4755.0,93.40006599934001,93.04098934357378,568.8499340006605,0.5981597623561099,0.2960881238625033,0.2633224503939225,0.08586966877800269,0.22425380076127974,ppo_25k
102,889,True,90.0,4445.0,92.95510050723277,92.15337831579686,584.7948994927667,0.6578120354249345,0.35088815240459714,0.33622765682398836,0.18457979446117787,0.3256205762238886,ppo_25k
103,1091,True,90.01,5455.0,94.25824806715828,93.77413503973371,533.0917519328419,0.4886267203784069,0.31424882636669305,0.28760248682556433,0.11816214411250571,0.2571683765741579,ppo_25k
104,988,True,90.03,4940.0,93.67260306706211,92.70509517437483,559.6273969329377,0.5664244908228114,0.30350772558941475,0.2723798841843193,0.08924430872498434,0.2355638912375564,ppo_25k
