Strategy,time_to_target_mean,time_to_target_std,distance_mean,distance_std,sensing_redundancy_mean,sensing_redundancy_std,visit_overlap_mean,visit_overlap_std,movement_efficiency_mean,movement_efficiency_std
Greedy,579.5454545454545,37.50563594011875,2897.7272727272725,187.5281797005937,88.96557541818774,0.6881413844408693,8.474830722878986,2.5754576225388597,0.876055813857991,0.028211254161192873
Hungarian A*,673.9090909090909,67.10507364641595,3369.5454545454545,335.5253682320798,90.54470257508429,0.8415735656031175,11.948343891174948,3.3068196823068345,0.783134033102277,0.030423239682721204
Hungarian BFS,652.0,42.405188361803084,3260.0,212.02594180901542,90.27502450723074,0.6566326678305067,11.241096180628785,2.1036157094112875,0.7938180304598105,0.01792304027386222
PPO-A,628.3636363636364,42.83987097850024,3146.818181818182,214.199354892501,89.93763254285733,0.6725319633645548,0.0,0.0,0.0,0.0
PPO-B,626.6363636363636,56.70145099955155,3138.181818181818,283.50725499775774,89.87793900795656,0.8733146874082475,0.0,0.0,0.0,0.0
