strategy,run_id,map_seed,timestep,coverage,total_distance,sensing_redundancy,visit_overlap,num_clusters,num_active_drones,exploration_efficiency,mean_pairwise_distance,movement_efficiency,nodes_expanded
cluster_frontier,3,3,1,0.32,5,71.42857142857143,0.0,0,0,1.0,1.3478708664619075,1.0,0
cluster_frontier,3,3,2,0.35000000000000003,10,84.78260869565217,25.0,3,3,0.6,1.5135562914111458,0.6,380
cluster_frontier,3,3,3,0.43,15,87.46355685131195,38.46153846153847,2,2,0.5333333333333333,2.1172747282920032,0.5333333333333333,462
cluster_frontier,3,3,4,0.48,20,89.6103896103896,44.44444444444444,2,2,0.5,2.5607698869111037,0.5,462
cluster_frontier,3,3,5,0.54,25,90.70567986230637,45.45454545454545,3,1,0.48,3.0414373490277997,0.48,549
cluster_frontier,3,3,6,0.5700000000000001,30,91.8103448275862,50.0,4,1,0.43333333333333335,3.065887343426733,0.43333333333333335,629
cluster_frontier,3,3,7,0.6,35,92.63803680981594,53.333333333333336,3,1,0.4,3.624510762401067,0.4,711
cluster_frontier,3,3,8,0.6799999999999999,40,92.76595744680851,51.42857142857142,2,1,0.425,3.9446525923411864,0.425,777
cluster_frontier,3,3,9,0.77,45,92.79700654817586,50.0,2,1,0.4444444444444444,4.434625398453674,0.4444444444444444,777
cluster_frontier,3,3,10,0.86,50,92.83930058284763,48.888888888888886,5,3,0.46,4.356168511350796,0.46,1053
cluster_frontier,3,3,11,0.98,55,92.65367316341829,48.0,5,3,0.4727272727272727,4.271245848675497,0.4727272727272727,1053
cluster_frontier,3,3,12,1.08,60,92.66304347826086,47.27272727272727,5,3,0.48333333333333334,4.343532403346523,0.48333333333333334,1053
cluster_frontier,3,3,13,1.1400000000000001,65,92.94117647058823,45.0,4,2,0.5076923076923077,3.8452344607384497,0.5076923076923077,1266
cluster_frontier,3,3,14,1.1900000000000002,70,93.23479249573622,44.44444444444444,3,1,0.5,3.619514140386893,0.5,1656
cluster_frontier,3,3,15,1.23,75,93.53652128218603,46.26865671641791,3,1,0.48,3.9568215130125624,0.48,1874
cluster_frontier,3,3,16,1.28,80,93.74694675134343,46.478873239436616,4,2,0.475,4.280411188203658,0.475,2194
cluster_frontier,3,3,17,1.3299999999999998,85,93.93248175182481,46.666666666666664,4,2,0.47058823529411764,4.637986199585772,0.47058823529411764,2194
cluster_frontier,3,3,18,1.41,90,93.96662387676508,46.25,4,2,0.4777777777777778,5.065986509677783,0.4777777777777778,2194
cluster_frontier,3,3,19,1.52,95,93.87343812978638,45.23809523809524,4,1,0.4842105263157895,5.925123235963076,0.4842105263157895,2287
cluster_frontier,3,3,20,1.59,100,93.93129770992367,44.31818181818182,4,1,0.49,6.81776365956407,0.49,2287
cluster_frontier,3,3,21,1.71,105,93.79985496736765,43.47826086956522,5,1,0.49523809523809526,7.538977690972324,0.49523809523809526,2426
cluster_frontier,3,3,22,1.82,110,93.713298791019,42.70833333333333,5,2,0.5,8.36031974909351,0.5,2698
cluster_frontier,3,3,23,1.94,115,93.58253390671518,42.57425742574257,5,2,0.5043478260869565,9.280474621365164,0.5043478260869565,2698
