Strategy,T90,Distance,Sensing Redundancy,Visit Overlap,Movement Efficiency
Fixed Weights,804.7272727272727,4023.6363636363635,92.04906384891461,0.0,0.0
PPO-A,628.3636363636364,3146.818181818182,89.93763254285733,0.0,0.0
PPO-B,626.6363636363636,3138.181818181818,89.87793900795656,0.0,0.0
