seed,cluster_frontier,cluster_utility,greedy,hungarian_utility_astar,hungarian_utility_bfs,random
105,3.1050552526166513,2.026681416553302,0.0,3.6791685639901033,0.9665884368702109,
106,1.3013439251365213,0.7497603450146215,0.0,0.09726657423109941,1.4240285448942132,
107,2.3278327252768634,1.5002365927146855,0.0,1.5740235740606465,1.5649652198318478,
108,0.7854157725654147,0.9324560285083123,0.17440117877474393,0.0,0.1847515737576657,
109,0.5315397113550517,0.9808820259519848,0.0,0.9691205558555396,1.3651865396777794,
110,2.159934623735566,2.744801177146158,0.0,1.9472608382855157,2.2716025703480085,
111,2.1633365845635097,1.8530318547715723,0.0,1.1792453907849136,0.7543236106434961,
112,3.3610770868644977,1.4173018774154116,0.0,1.7686939927626497,2.498751407958366,
113,1.1060035679854536,0.556300734353016,0.4700506443483192,2.501555862487251,0.0,
114,1.2125530425014404,1.269753793648377,0.0,2.2588676847700953,1.3617488880487514,
115,1.827240946231754,3.558653228004715,0.0,2.039647511757366,2.656445010565875,
