seed,cluster_frontier,cluster_utility,greedy,hungarian_utility_astar,hungarian_utility_bfs,random
105,3.5266613154343,2.3018653031841994,0.0,4.17872803926809,1.0978323317704692,
106,1.4520577410926698,0.836593072679522,0.0,0.10853140306242706,1.588950954632264,
107,2.6276780763880794,1.6934802751356064,0.0,1.7767716693583495,1.7665465193479075,
108,0.8773192880910096,1.0415651017995682,0.19480830835001836,0.0,0.2063698296169234,
109,0.5953695380671851,1.0986710234700654,0.0,1.0854971798818593,1.5291246583090758,
110,2.444311068070597,3.106181003454731,0.0,2.2036367060082056,2.570681188190921,
111,2.4301961714641074,2.0816136292427716,0.0,1.3247118614602529,0.8473736189325697,
112,3.7974824970019876,1.60132568618771,0.0,1.9983428842849098,2.823191640907318,
113,1.2316277573622505,0.6194875366615358,0.5234408257831366,2.7856923124067943,0.0,
114,1.364040144643184,1.428387120101846,0.0,2.541073334909351,1.5318753779132162,
115,2.0686201993667277,4.028752729722643,0.0,2.3090857563752474,3.0073624492139426,
