seed,cluster_frontier,cluster_utility,greedy,hungarian_utility_astar,hungarian_utility_bfs,random
105,33.95872420262664,19.887429643527206,0.0,43.33958724202627,7.6923076923076925,
106,12.175324675324676,6.98051948051948,0.0,0.0,14.123376623376624,
107,24.642857142857146,14.821428571428571,0.0,14.107142857142858,15.535714285714286,
108,8.27814569536424,9.271523178807946,2.814569536423841,0.0,1.490066225165563,
109,5.218855218855219,9.427609427609427,0.0,8.585858585858585,14.14141414141414,
110,22.851919561243143,30.712979890310788,0.0,19.378427787934186,23.76599634369287,
111,23.70242214532872,19.72318339100346,0.0,12.283737024221452,7.26643598615917,
112,39.38848920863309,12.769784172661872,0.0,16.366906474820144,25.719424460431657,
113,12.62135922330097,5.6634304207119746,5.6634304207119746,33.49514563106796,0.0,
114,12.062937062937063,12.062937062937063,0.0,25.0,12.937062937062937,
115,17.98165137614679,42.75229357798165,0.0,20.36697247706422,27.889908256880737,
