seed,cluster_frontier,cluster_utility,greedy,hungarian_utility_astar,hungarian_utility_bfs,random
105,181.0,106.0,0.0,231.0,41.0,
106,75.0,43.0,0.0,0.0,87.0,
107,138.0,83.0,0.0,79.0,87.0,
108,50.0,56.0,17.0,0.0,9.0,
109,31.0,56.0,0.0,51.0,84.0,
110,125.0,168.0,0.0,106.0,130.0,
111,137.0,114.0,0.0,71.0,42.0,
112,219.0,71.0,0.0,91.0,143.0,
113,78.0,35.0,35.0,207.0,0.0,
114,69.0,69.0,0.0,143.0,74.0,
115,98.0,233.0,0.0,111.0,152.0,
