seed,cluster_frontier,cluster_utility,greedy,hungarian_utility_astar,hungarian_utility_bfs,random
105,91.15023381931071,90.07185998324736,88.04517856669406,91.72434713068417,89.01176700356427,
106,90.9220172846727,90.3704337045508,89.62067335953618,89.71793993376728,91.0447019044304,
107,90.91679444758292,90.08919831502074,88.58896172230605,90.1629852963667,90.1539269421379,
108,90.30992335228922,90.45696360823212,89.69890875849855,89.5245075797238,89.70925915348147,
109,89.81049628690455,90.25983860150149,89.2789565755495,90.24807713140504,90.64414311522728,
110,90.52571801154708,91.11058456495768,88.36578338781152,90.31304422609703,90.63738595815953,
111,91.1823470647,90.87204233490806,89.01901048013649,90.1982558709214,89.77333409077998,
112,91.8691107517459,89.9253355422968,88.5080336648814,90.27672765764405,91.00678507283976,
113,90.90615311594276,90.35645028231032,90.27020019230562,92.30170541044455,89.8001495479573,
114,90.10678737008637,90.1639881212333,88.89423432758493,91.15310201235502,90.25598321563368,
115,90.15862951099255,91.89004179276552,88.3313885647608,90.37103607651817,90.98783357532668,
