seed,cluster_frontier,cluster_utility,greedy,hungarian_utility_astar,hungarian_utility_bfs,random
105,714.0,639.0,533.0,764.0,574.0,
106,691.0,659.0,616.0,616.0,703.0,
107,698.0,643.0,560.0,639.0,647.0,
108,654.0,660.0,621.0,604.0,613.0,
109,625.0,650.0,594.0,645.0,678.0,
110,672.0,715.0,547.0,653.0,677.0,
111,715.0,692.0,578.0,649.0,620.0,
112,775.0,627.0,556.0,647.0,699.0,
113,696.0,653.0,653.0,825.0,618.0,
114,641.0,641.0,572.0,715.0,646.0,
115,643.0,778.0,545.0,656.0,697.0,
