strategy,run_id,map_seed,timestep,coverage,total_distance,overlap_percentage
random,2,2,1,0.15,5,76.5625
random,2,2,2,0.2,10,85.91549295774648
random,2,2,3,0.25,15,88.83928571428571
random,2,2,4,0.26,20,91.33333333333333
random,2,2,5,0.27999999999999997,25,92.3913043478261
random,2,2,6,0.27999999999999997,30,93.76391982182628
random,2,2,7,0.27999999999999997,35,94.74671669793621
random,2,2,8,0.31,40,94.96753246753246
random,2,2,9,0.36,45,94.90806223479491
random,2,2,10,0.38999999999999996,50,95.16728624535315
random,2,2,11,0.44,55,95.18599562363238
random,2,2,12,0.5,60,95.14091350826045
random,2,2,13,0.51,65,95.52238805970148
random,2,2,14,0.51,70,95.89371980676329
random,2,2,15,0.51,75,96.22501850481126
random,2,2,16,0.51,80,96.5068493150685
random,2,2,17,0.51,85,96.74329501915709
random,2,2,18,0.52,90,96.8955223880597
random,2,2,19,0.53,95,97.0374510899944
random,2,2,20,0.54,100,97.16535433070867
random,2,2,21,0.54,105,97.31876861966236
random,2,2,22,0.54,110,97.45042492917847
random,2,2,23,0.5599999999999999,115,97.47747747747748
random,2,2,24,0.5599999999999999,120,97.57785467128028
random,2,2,25,0.5599999999999999,125,97.67054908485858
random,2,2,26,0.5599999999999999,130,97.76803507373457
random,2,2,27,0.5599999999999999,135,97.85522788203752
random,2,2,28,0.5599999999999999,140,97.93434157137587
random,2,2,29,0.5599999999999999,145,98.00782639630025
random,2,2,30,0.5599999999999999,150,98.08547008547008
random,2,2,31,0.59,155,98.05921052631578
random,2,2,32,0.6,160,98.09463321689425
random,2,2,33,0.6,165,98.16625916870416
random,2,2,34,0.64,170,98.12096300645919
random,2,2,35,0.64,175,98.18439716312056
random,2,2,36,0.64,180,98.2436882546652
random,2,2,37,0.64,185,98.29922933829391
random,2,2,38,0.64,190,98.34753421120578
random,2,2,39,0.64,195,98.39034205231388
random,2,2,40,0.64,200,98.43444227005871
random,2,2,41,0.64,205,98.47655320161867
random,2,2,42,0.64,210,98.51162790697674
random,2,2,43,0.64,215,98.54479308776718
random,2,2,44,0.64,220,98.57809375694289
random,2,2,45,0.64,225,98.61291720849589
random,2,2,46,0.64,230,98.6434930055108
random,2,2,47,0.64,235,98.67164798671648
random,2,2,48,0.64,240,98.69786368260426
random,2,2,49,0.64,245,98.72509960159363
random,2,2,50,0.64,250,98.75097580015613
random,2,2,51,0.64,255,98.77792629367958
random,2,2,52,0.64,260,98.8028432472877
random,2,2,53,0.64,265,98.82805347006042
random,2,2,54,0.64,270,98.85201793721973
random,2,2,55,0.67,275,98.82166725290188
random,2,2,56,0.69,280,98.8134135855546
random,2,2,57,0.69,285,98.84033613445378
random,2,2,58,0.7000000000000001,290,98.8477366255144
random,2,2,59,0.73,295,98.8225806451613
random,2,2,60,0.73,300,98.84493670886076
random,2,2,61,0.77,305,98.80509000620734
random,2,2,62,0.8099999999999999,310,98.76693560663725
random,2,2,63,0.86,315,98.7143070713111
random,2,2,64,0.8699999999999999,320,98.72058823529412
random,2,2,65,0.8699999999999999,325,98.74113731732021
random,2,2,66,0.8699999999999999,330,98.76191831507045
random,2,2,67,0.8699999999999999,335,98.78287632904309
random,2,2,68,0.91,340,98.7491408934708
random,2,2,69,0.91,345,98.7706025398541
random,2,2,70,0.91,350,98.79021536825312
random,2,2,71,0.91,355,98.80936804919534
random,2,2,72,0.9299999999999999,360,98.80355075260518
random,2,2,73,0.97,365,98.77370417193426
random,2,2,74,0.97,370,98.79443201590853
random,2,2,75,0.97,375,98.81432587703215
random,2,2,76,0.97,380,98.8334335538184
random,2,2,77,0.97,385,98.85139135583185
random,2,2,78,0.97,390,98.868012603571
random,2,2,79,1.02,395,98.8247493950916
random,2,2,80,1.09,400,98.76065946560546
random,2,2,81,1.09,405,98.77706720520588
random,2,2,82,1.0999999999999999,410,98.78210806023029
random,2,2,83,1.0999999999999999,415,98.79755137735025
random,2,2,84,1.11,420,98.80155473979701
random,2,2,85,1.11,425,98.816252532793
random,2,2,86,1.1199999999999999,430,98.8195615514334
random,2,2,87,1.1199999999999999,435,98.83296863603209
random,2,2,88,1.1199999999999999,440,98.8466687261868
random,2,2,89,1.1400000000000001,445,98.84052074857608
random,2,2,90,1.1400000000000001,450,98.8539258067759
random,2,2,91,1.1400000000000001,455,98.8658973338639
random,2,2,92,1.1400000000000001,460,98.8781735878764
random,2,2,93,1.1400000000000001,465,98.88975457732762
random,2,2,94,1.1400000000000001,470,98.90078102400925
random,2,2,95,1.1400000000000001,475,98.91252504054184
random,2,2,96,1.18,480,98.88700245236748
random,2,2,97,1.1900000000000002,485,98.88920003733782
random,2,2,98,1.1900000000000002,490,98.90069284064666
random,2,2,99,1.2,495,98.90280698546219
random,2,2,100,1.23,500,98.88586956521739
random,2,2,101,1.25,505,98.87852144267002
random,2,2,102,1.27,510,98.87070958563045
random,2,2,103,1.31,515,98.8460183227625
random,2,2,104,1.35,520,98.82219507939277
random,2,2,105,1.37,525,98.81580084709137
random,2,2,106,1.38,530,98.81849315068493
random,2,2,107,1.38,535,98.82921863069484
random,2,2,108,1.41,540,98.81532515543606
random,2,2,109,1.43,545,98.8100191395523
random,2,2,110,1.48,550,98.77928076542395
random,2,2,111,1.55,555,98.73252105650504
random,2,2,112,1.6199999999999999,560,98.68655748337927
random,2,2,113,1.6199999999999999,565,98.69806316804629
random,2,2,114,1.6199999999999999,570,98.71019108280254
random,2,2,115,1.66,575,98.69054192632326
random,2,2,116,1.71,580,98.66301798279906
random,2,2,117,1.7399999999999998,585,98.65126734361678
random,2,2,118,1.79,590,98.62402951802598
random,2,2,119,1.8499999999999999,595,98.58993902439023
random,2,2,120,1.92,600,98.54886251983977
random,2,2,121,1.92,605,98.5606117400105
random,2,2,122,1.92,610,98.5724907063197
random,2,2,123,1.92,615,98.58386192653784
random,2,2,124,1.92,620,98.594744931567
random,2,2,125,1.92,625,98.6053606450207
random,2,2,126,1.94,630,98.60109604845688
random,2,2,127,1.94,635,98.61190612478535
random,2,2,128,1.94,640,98.62372304199774
random,2,2,129,1.94,645,98.63457207207207
random,2,2,130,1.94,650,98.64534599539138
random,2,2,131,1.94,655,98.65613743419229
