strategy,run_id,map_seed,timestep,coverage,total_distance,sensing_redundancy,visit_overlap,num_clusters,num_active_drones,exploration_efficiency,mean_pairwise_distance,movement_efficiency,nodes_expanded
hungarian_bfs_frontier,2,2,1,0.36,5,69.49152542372882,0.0,0,0,1.0,1.530056307974577,1.0,0
hungarian_bfs_frontier,2,2,2,0.41000000000000003,10,83.1275720164609,12.5,3,3,0.7,1.536505818199175,0.7,494
hungarian_bfs_frontier,2,2,3,0.48,15,87.16577540106952,30.76923076923077,3,2,0.6,1.9698908717413939,0.6,820
hungarian_bfs_frontier,2,2,4,0.59,20,88.3399209486166,33.33333333333333,3,2,0.6,2.6369643225869104,0.6,820
hungarian_bfs_frontier,2,2,5,0.63,25,90.03164556962025,39.130434782608695,3,2,0.56,3.05395134906164,0.56,820
hungarian_bfs_frontier,2,2,6,0.7100000000000001,30,90.63324538258574,39.285714285714285,3,2,0.5666666666666667,3.5231711290083942,0.5666666666666667,820
hungarian_bfs_frontier,2,2,7,0.8,35,90.9090909090909,36.36363636363637,3,3,0.6,4.231826178922426,0.6,1422
hungarian_bfs_frontier,2,2,8,0.8999999999999999,40,91.01796407185628,34.21052631578947,3,1,0.625,4.748700954476004,0.625,1783
hungarian_bfs_frontier,2,2,9,0.9900000000000001,45,91.19217081850533,30.23255813953488,2,1,0.6666666666666666,5.107220386861729,0.6666666666666666,2589
hungarian_bfs_frontier,2,2,10,1.05,50,91.57979149959904,30.434782608695656,1,1,0.64,5.228123235993586,0.64,3435
hungarian_bfs_frontier,2,2,11,1.15,55,91.6058394160584,27.450980392156865,3,2,0.6727272727272727,5.678048033808527,0.6727272727272727,4072
hungarian_bfs_frontier,2,2,12,1.28,60,91.42665773610182,28.57142857142857,3,2,0.6666666666666666,6.344660002162023,0.6666666666666666,4072
hungarian_bfs_frontier,2,2,13,1.39,65,91.42504626773596,29.508196721311474,7,1,0.6615384615384615,6.3984628499946785,0.6615384615384615,4491
hungarian_bfs_frontier,2,2,14,1.5,70,91.47242751563388,30.303030303030305,6,3,0.6571428571428571,5.962208076106284,0.6571428571428571,6408
hungarian_bfs_frontier,2,2,15,1.54,75,91.88619599578503,29.577464788732392,6,3,0.6666666666666666,5.7104279590077915,0.6666666666666666,6408
hungarian_bfs_frontier,2,2,16,1.6400000000000001,80,91.96865817825662,27.631578947368425,5,1,0.6875,5.8115982078535975,0.6875,7117
hungarian_bfs_frontier,2,2,17,1.77,85,91.90672153635117,27.160493827160494,6,1,0.6941176470588235,6.087291708801129,0.6941176470588235,7727
hungarian_bfs_frontier,2,2,18,1.95,90,91.63807890222985,26.744186046511626,4,1,0.7,6.904747111398676,0.7,8245
hungarian_bfs_frontier,2,2,19,2.12,95,91.437802907916,26.373626373626376,2,2,0.7052631578947368,7.773531422512518,0.7052631578947368,11045
hungarian_bfs_frontier,2,2,20,2.25,100,91.40893470790378,26.041666666666668,4,1,0.71,8.226222914889888,0.71,11513
hungarian_bfs_frontier,2,2,21,2.4,105,91.29488574537541,24.752475247524753,4,1,0.7238095238095238,8.957597173064109,0.7238095238095238,11513
hungarian_bfs_frontier,2,2,22,2.54,110,91.22625215889465,24.528301886792452,7,3,0.7272727272727273,9.015375319123523,0.7272727272727273,14398
hungarian_bfs_frontier,2,2,23,2.68,115,91.1667765326302,24.324324324324326,5,1,0.7304347826086957,9.33432394057368,0.7304347826086957,15762
hungarian_bfs_frontier,2,2,24,2.85,120,91.03209565764632,25.0,5,1,0.725,9.401645555796089,0.725,15762
hungarian_bfs_frontier,2,2,25,2.9899999999999998,125,91.00210653024375,24.793388429752067,6,1,0.728,8.694641137804778,0.728,16655
hungarian_bfs_frontier,2,2,26,3.1399999999999997,130,90.94579008073818,24.6031746031746,5,2,0.7307692307692307,8.369865969490089,0.7307692307692307,18823
hungarian_bfs_frontier,2,2,27,3.3000000000000003,135,90.86378737541528,24.427480916030532,5,2,0.7333333333333333,8.648397758297348,0.7333333333333333,18823
hungarian_bfs_frontier,2,2,28,3.4099999999999997,140,90.92119275825347,25.185185185185183,4,2,0.7214285714285714,8.52738322608105,0.7214285714285714,21802
hungarian_bfs_frontier,2,2,29,3.52,145,90.97435897435898,25.899280575539567,6,2,0.7103448275862069,9.137947755649467,0.7103448275862069,24381
hungarian_bfs_frontier,2,2,30,3.66,150,90.95179233621755,26.38888888888889,6,2,0.7066666666666667,9.748498081689561,0.7066666666666667,24381
hungarian_bfs_frontier,2,2,31,3.84,155,90.83532219570407,26.845637583892618,6,2,0.7032258064516129,10.563576152893305,0.7032258064516129,24381
hungarian_bfs_frontier,2,2,32,4.02,160,90.72664359861592,26.623376623376622,8,3,0.70625,10.978493660668239,0.70625,29864
hungarian_bfs_frontier,2,2,33,4.2299999999999995,165,90.55803571428571,26.41509433962264,10,1,0.7090909090909091,11.50707924354737,0.7090909090909091,31821
hungarian_bfs_frontier,2,2,34,4.45,170,90.37837837837837,26.21951219512195,6,1,0.711764705882353,12.150689500872696,0.711764705882353,33813
hungarian_bfs_frontier,2,2,35,4.65,175,90.25157232704403,26.035502958579883,7,2,0.7142857142857143,12.62715124134096,0.7142857142857143,37071
hungarian_bfs_frontier,2,2,36,4.84,180,90.15259409969481,25.862068965517242,6,1,0.7166666666666667,13.201979157626067,0.7166666666666667,38069
hungarian_bfs_frontier,2,2,37,4.99,185,90.13833992094862,25.69832402234637,6,1,0.7189189189189189,13.712997156721022,0.7189189189189189,38069
hungarian_bfs_frontier,2,2,38,5.17,190,90.06724303554275,25.0,9,1,0.7263157894736842,14.044487219668571,0.7263157894736842,39393
hungarian_bfs_frontier,2,2,39,5.35,195,90.0,24.33862433862434,9,1,0.7333333333333333,14.0075239103639,0.7333333333333333,39393
hungarian_bfs_frontier,2,2,40,5.45,200,90.08189262966333,23.711340206185564,11,1,0.74,13.63511848853808,0.74,42791
hungarian_bfs_frontier,2,2,41,5.59,205,90.08865248226951,23.232323232323232,12,3,0.7414634146341463,13.607666784330117,0.7414634146341463,52130
hungarian_bfs_frontier,2,2,42,5.7299999999999995,210,90.09507346585998,23.15270935960591,12,3,0.7428571428571429,13.617089092392991,0.7428571428571429,52130
hungarian_bfs_frontier,2,2,43,5.8999999999999995,215,90.05059021922428,23.18840579710145,11,1,0.7395348837209302,14.102815106077642,0.7395348837209302,56645
hungarian_bfs_frontier,2,2,44,6.09,220,89.9753086419753,22.641509433962266,13,2,0.7454545454545455,14.379604657044059,0.7454545454545455,63390
hungarian_bfs_frontier,2,2,45,6.32,225,89.83922829581994,22.119815668202765,14,1,0.7511111111111111,14.41557260230871,0.7511111111111111,68494
hungarian_bfs_frontier,2,2,46,6.550000000000001,230,89.70934799685782,21.62162162162162,14,1,0.7565217391304347,14.767568216602532,0.7565217391304347,68494
hungarian_bfs_frontier,2,2,47,6.75,235,89.63133640552995,21.238938053097346,14,3,0.7574468085106383,14.727678338671648,0.7574468085106383,84950
hungarian_bfs_frontier,2,2,48,6.98,240,89.51164537941398,20.77922077922078,15,2,0.7625,14.727678338671648,0.7625,96600
hungarian_bfs_frontier,2,2,49,7.24,245,89.3529411764706,20.33898305084746,15,2,0.7673469387755102,14.478361086743297,0.7673469387755102,96600
hungarian_bfs_frontier,2,2,50,7.3999999999999995,250,89.34485241180705,20.0,16,2,0.768,14.452403197926426,0.768,108311
hungarian_bfs_frontier,2,2,51,7.57,255,89.32299012693935,19.591836734693878,15,1,0.7725490196078432,13.630547378476393,0.7725490196078432,115074
hungarian_bfs_frontier,2,2,52,7.7700000000000005,260,89.2605390463027,19.27710843373494,16,2,0.7730769230769231,13.1418403809781,0.7730769230769231,130020
hungarian_bfs_frontier,2,2,53,7.9,265,89.29539295392954,18.972332015810274,16,2,0.7735849056603774,12.883102341066461,0.7735849056603774,130020
hungarian_bfs_frontier,2,2,54,8.05,270,89.30232558139535,18.6046511627907,16,1,0.7777777777777778,13.26334873129197,0.7777777777777778,137524
hungarian_bfs_frontier,2,2,55,8.19,275,89.32203389830508,18.3206106870229,15,2,0.7781818181818182,13.479143113485822,0.7781818181818182,149203
hungarian_bfs_frontier,2,2,56,8.33,280,89.3410108765195,18.045112781954884,15,2,0.7785714285714286,14.308836172245464,0.7785714285714286,149203
hungarian_bfs_frontier,2,2,57,8.5,285,89.321608040201,17.712177121771216,18,1,0.7824561403508772,14.956169878482317,0.7824561403508772,157499
hungarian_bfs_frontier,2,2,58,8.7,290,89.26588525601481,17.391304347826086,17,2,0.7862068965517242,15.26339640335365,0.7862068965517242,174512
hungarian_bfs_frontier,2,2,59,8.89,295,89.22424242424243,17.08185053380783,17,1,0.7898305084745763,15.37796643801438,0.7898305084745763,182627
hungarian_bfs_frontier,2,2,60,9.08,300,89.18403811792733,16.783216783216783,17,1,0.7933333333333333,15.700361183320302,0.7933333333333333,190787
