strategy,run_id,map_seed,timestep,coverage,total_distance,overlap_percentage
random,3,3,1,0.16999999999999998,5,73.4375
random,3,3,2,0.22,10,84.05797101449275
random,3,3,3,0.25,15,88.58447488584474
random,3,3,4,0.31,20,90.18987341772153
random,3,3,5,0.35000000000000003,25,91.56626506024097
random,3,3,6,0.38999999999999996,30,92.44186046511628
random,3,3,7,0.38999999999999996,35,93.69951534733441
random,3,3,8,0.38999999999999996,40,94.57579972183588
random,3,3,9,0.43,45,94.76885644768856
random,3,3,10,0.49,50,94.72551130247578
random,3,3,11,0.5,55,95.15503875968993
random,3,3,12,0.51,60,95.53805774278216
random,3,3,13,0.5599999999999999,65,95.5164131305044
random,3,3,14,0.63,70,95.36082474226805
random,3,3,15,0.7100000000000001,75,95.1568894952251
random,3,3,16,0.75,80,95.23506988564168
random,3,3,17,0.75,85,95.51435406698565
random,3,3,18,0.8,90,95.48532731376976
random,3,3,19,0.86,95,95.41333333333334
random,3,3,20,0.91,100,95.40867810292633
random,3,3,21,0.95,105,95.44364508393285
random,3,3,22,0.9900000000000001,110,95.49180327868852
random,3,3,23,1.0,115,95.6896551724138
random,3,3,24,1.03,120,95.78904333605888
random,3,3,25,1.03,125,95.98283931357254
random,3,3,26,1.06,130,96.06240713224369
random,3,3,27,1.06,135,96.23044096728307
random,3,3,28,1.06,140,96.37854458489922
random,3,3,29,1.06,145,96.51659546500164
random,3,3,30,1.06,150,96.64663081303385
random,3,3,31,1.06,155,96.76730710582495
random,3,3,32,1.0699999999999998,160,96.84737772539776
random,3,3,33,1.0699999999999998,165,96.95330296127563
random,3,3,34,1.0699999999999998,170,97.04746136865342
random,3,3,35,1.11,175,97.02890792291221
random,3,3,36,1.16,180,96.98779537782394
random,3,3,37,1.2,185,96.98037242073477
random,3,3,38,1.26,190,96.92457896021479
random,3,3,39,1.26,195,97.02057223930008
random,3,3,40,1.3,200,97.01698026617714
random,3,3,41,1.35,205,96.98929527207851
random,3,3,42,1.3599999999999999,210,97.05117085862966
random,3,3,43,1.3599999999999999,215,97.13019624393333
random,3,3,44,1.46,220,96.9983552631579
random,3,3,45,1.55,225,96.88879967884384
random,3,3,46,1.5699999999999998,230,96.9161264977411
random,3,3,47,1.6,235,96.92307692307692
random,3,3,48,1.6,240,96.98454579721071
random,3,3,49,1.6099999999999999,245,97.02842377260981
random,3,3,50,1.6400000000000001,250,97.0354302241504
random,3,3,51,1.67,255,97.04738330975955
random,3,3,52,1.67,260,97.11022668281709
random,3,3,53,1.72,265,97.08721422523286
random,3,3,54,1.79,270,97.03249336870027
random,3,3,55,1.8399999999999999,275,97.01444101898427
random,3,3,56,1.9,280,96.97452229299363
random,3,3,57,1.9,285,97.0266040688576
random,3,3,58,1.91,290,97.06515058389674
random,3,3,59,1.91,295,97.12045831448816
random,3,3,60,1.94,300,97.12720272471495
random,3,3,61,1.94,305,97.17818181818181
random,3,3,62,1.9900000000000002,310,97.15795487003713
random,3,3,63,2.04,315,97.13644020213363
random,3,3,64,2.09,320,97.12121212121212
random,3,3,65,2.15,325,97.09380913760477
random,3,3,66,2.1999999999999997,330,97.07874120302749
random,3,3,67,2.1999999999999997,335,97.127187255158
random,3,3,68,2.1999999999999997,340,97.17586649550705
random,3,3,69,2.21,345,97.21030042918454
random,3,3,70,2.26,350,97.19394089893221
random,3,3,71,2.26,355,97.23648813890927
random,3,3,72,2.26,360,97.28038507821901
random,3,3,73,2.26,365,97.32195757791207
random,3,3,74,2.26,370,97.36350909939337
random,3,3,75,2.2800000000000002,375,97.37991266375546
random,3,3,76,2.2800000000000002,380,97.41847826086956
random,3,3,77,2.2800000000000002,385,97.45677635248188
random,3,3,78,2.2800000000000002,390,97.49312809235843
random,3,3,79,2.29,395,97.51842219332467
random,3,3,80,2.29,400,97.55341880341881
random,3,3,81,2.29,405,97.58769619719794
random,3,3,82,2.31,410,97.60149517184094
random,3,3,83,2.32,415,97.62489762489763
random,3,3,84,2.32,420,97.65774861181221
random,3,3,85,2.33,425,97.67858921988642
random,3,3,86,2.36,430,97.68013368721125
random,3,3,87,2.36,435,97.7120698012603
random,3,3,88,2.37,440,97.73140614530487
random,3,3,89,2.37,445,97.75971263824557
random,3,3,90,2.39,450,97.768857356236
random,3,3,91,2.39,455,97.79621945597049
random,3,3,92,2.4,460,97.81281326893283
random,3,3,93,2.4,465,97.83705839942321
random,3,3,94,2.4,470,97.86077190480434
random,3,3,95,2.4,475,97.88583509513742
random,3,3,96,2.4,480,97.91031780583369
random,3,3,97,2.41,485,97.92652499354728
random,3,3,98,2.41,490,97.95085451917353
random,3,3,99,2.44,495,97.94940751323641
random,3,3,100,2.44,500,97.97291683974412
random,3,3,101,2.45,505,97.98685291700903
