strategy,run_id,map_seed,timestep,coverage,total_distance,sensing_redundancy,visit_overlap,num_clusters,num_active_drones,exploration_efficiency,mean_pairwise_distance,movement_efficiency,nodes_expanded
hungarian_high_cost,1,1,473,78.51,2365,88.17103855599584,4.465930018416206,74,1,0.8773784355179705,56.19602532379787,0.8773784355179705,82664242
hungarian_high_cost,1,1,474,78.61,2370,88.18161316996166,4.455672944418925,70,1,0.8776371308016878,56.1460424791861,0.8776371308016878,82926073
hungarian_high_cost,1,1,475,78.66,2375,88.19875776397515,4.447501146263182,69,3,0.8774736842105263,56.008793675092,0.8774736842105263,83668750
hungarian_high_cost,1,1,476,78.74,2380,88.21133951162548,4.439359267734553,69,1,0.8773109243697479,55.770281922405466,0.8773109243697479,83922139
hungarian_high_cost,1,1,477,78.81,2385,88.22448339235287,4.431247144814984,69,1,0.8771488469601677,55.94158775489778,0.8771488469601677,83922139
hungarian_high_cost,1,1,478,78.89,2390,88.23608356570884,4.423164614683082,69,1,0.8769874476987448,55.320751442587394,0.8769874476987448,84191889
hungarian_high_cost,1,1,479,78.97,2395,88.24851190476191,4.41712204007286,69,1,0.8764091858037578,54.76253886367999,0.8764091858037578,84407720
hungarian_high_cost,1,1,480,79.06,2400,88.26027559990497,4.411095952705776,70,1,0.8758333333333334,54.04971622524762,0.8758333333333334,84685711
hungarian_high_cost,1,1,481,79.14,2405,88.27347083926031,4.450499545867393,70,1,0.8748440748440749,53.66459232493494,0.8748440748440749,84685711
hungarian_high_cost,1,1,482,79.22,2410,88.28660988881003,4.444444444444445,67,1,0.8742738589211618,53.243248298810286,0.8742738589211618,84896956
hungarian_high_cost,1,1,483,79.31,2415,88.29821765816808,4.438405797101449,67,1,0.8737060041407867,52.89729172345612,0.8737060041407867,84896956
hungarian_high_cost,1,1,484,79.39,2420,88.31124852767962,4.430379746835443,66,1,0.8735537190082645,53.18989595928232,0.8735537190082645,85162169
hungarian_high_cost,1,1,485,79.5,2425,88.31998824652906,4.4203879115922415,66,1,0.8738144329896907,53.29118163274423,0.8738144329896907,85162169
hungarian_high_cost,1,1,486,79.57,2430,88.33455505057908,4.412426834759117,66,1,0.8736625514403292,52.58988364145191,0.8736625514403292,85162169
hungarian_high_cost,1,1,487,79.61,2435,88.3534489064443,4.404494382022472,64,2,0.8735112936344969,52.31427610904059,0.8735112936344969,85629640
hungarian_high_cost,1,1,488,79.62,2440,88.37647264923577,4.396590399282189,62,2,0.8733606557377049,52.05759300089966,0.8733606557377049,86121259
hungarian_high_cost,1,1,489,79.66,2445,88.39502935477762,4.386750223813786,62,2,0.8736196319018404,51.1721655236834,0.8736196319018404,86121259
hungarian_high_cost,1,1,490,79.71000000000001,2450,88.41205460334075,4.423592493297587,62,1,0.873061224489796,51.011748084699626,0.873061224489796,86369816
hungarian_high_cost,1,1,491,79.78,2455,88.42610726668698,4.458314757021846,62,1,0.8729124236252546,50.664392666711436,0.8729124236252546,86369816
hungarian_high_cost,1,1,492,79.84,2460,88.44171637037465,4.494882064975523,63,1,0.8723577235772357,49.97557260922923,0.8723577235772357,86583913
hungarian_high_cost,1,1,493,79.93,2465,88.4529261351324,4.531319413593958,63,1,0.8718052738336713,49.20615388514872,0.8718052738336713,86583913
hungarian_high_cost,1,1,494,80.01,2470,88.46553066343742,4.565602836879433,62,2,0.8716599190283401,48.65558487254653,0.8716599190283401,87010659
