strategy,run_id,map_seed,timestep,coverage,total_distance,overlap_percentage
random,1,1,1,0.16999999999999998,5,74.6268656716418
random,1,1,2,0.2,10,85.40145985401459
random,1,1,3,0.2,15,90.33816425120773
random,1,1,4,0.2,20,92.53731343283582
random,1,1,5,0.22,25,93.45238095238095
random,1,1,6,0.25,30,93.91727493917274
random,1,1,7,0.25,35,94.8559670781893
random,1,1,8,0.26,40,95.36541889483065
random,1,1,9,0.31,45,95.141065830721
random,1,1,10,0.35000000000000003,50,95.11854951185495
random,1,1,11,0.4,55,95.00624219725343
random,1,1,12,0.44,60,95.04504504504504
random,1,1,13,0.44,65,95.51478083588175
random,1,1,14,0.48,70,95.5719557195572
random,1,1,15,0.52,75,95.65943238731218
random,1,1,16,0.5700000000000001,80,95.69160997732426
random,1,1,17,0.59,85,95.90846047156727
random,1,1,18,0.59,90,96.20090148100451
random,1,1,19,0.62,95,96.27851140456183
random,1,1,20,0.67,100,96.23172103487065
random,1,1,21,0.7100000000000001,105,96.25724828676859
random,1,1,22,0.76,110,96.22454048683556
random,1,1,23,0.8099999999999999,115,96.19181946403384
random,1,1,24,0.8099999999999999,120,96.39679715302492
random,1,1,25,0.8099999999999999,125,96.59377628259041
random,1,1,26,0.8500000000000001,130,96.59455128205127
random,1,1,27,0.8500000000000001,135,96.76190476190476
random,1,1,28,0.88,140,96.81043856469735
random,1,1,29,0.9299999999999999,145,96.79089026915115
random,1,1,30,0.96,150,96.82959048877147
random,1,1,31,1.0,155,96.8294229549778
random,1,1,32,1.0,160,96.9437652811736
random,1,1,33,1.05,165,96.89073141841872
random,1,1,34,1.06,170,96.96275071633238
random,1,1,35,1.06,175,97.05637322965843
random,1,1,36,1.0999999999999999,180,97.0414201183432
random,1,1,37,1.11,185,97.10636079249217
random,1,1,38,1.11,190,97.1912955465587
random,1,1,39,1.15,195,97.17166748647318
random,1,1,40,1.18,200,97.17905809227827
random,1,1,41,1.1900000000000002,205,97.23320158102767
random,1,1,42,1.1900000000000002,210,97.30830128930106
random,1,1,43,1.1900000000000002,215,97.37596471885335
random,1,1,44,1.24,220,97.33161179255434
random,1,1,45,1.29,225,97.28934650136584
random,1,1,46,1.3299999999999998,230,97.26393746142769
random,1,1,47,1.3299999999999998,235,97.32770745428974
random,1,1,48,1.37,240,97.31056144483706
random,1,1,49,1.37,245,97.36690370939843
random,1,1,50,1.37,250,97.42723004694835
random,1,1,51,1.37,255,97.48716067498165
random,1,1,52,1.41,260,97.47402364743819
random,1,1,53,1.47,265,97.42286115007013
random,1,1,54,1.51,270,97.4046063939498
random,1,1,55,1.51,275,97.45362563237774
random,1,1,56,1.51,280,97.49792874896438
random,1,1,57,1.5599999999999998,285,97.46011071312276
random,1,1,58,1.6,290,97.43836055075248
random,1,1,59,1.6,295,97.48348537275872
random,1,1,60,1.63,300,97.48029061678776
random,1,1,61,1.67,305,97.46200607902735
random,1,1,62,1.67,310,97.50634612513066
random,1,1,63,1.67,315,97.54772393538913
random,1,1,64,1.67,320,97.58949191685913
random,1,1,65,1.67,325,97.62952448545067
random,1,1,66,1.68,330,97.65264775744026
random,1,1,67,1.69,335,97.67601760176018
random,1,1,68,1.69,340,97.71374458874459
random,1,1,69,1.69,345,97.74906766116143
random,1,1,70,1.69,350,97.78331584470095
random,1,1,71,1.69,355,97.82047975238586
random,1,1,72,1.72,360,97.818366311517
random,1,1,73,1.73,365,97.83885071830106
random,1,1,74,1.73,370,97.86972047777367
random,1,1,75,1.73,375,97.89844509232265
random,1,1,76,1.73,380,97.92888782473362
random,1,1,77,1.73,385,97.95846117535993
random,1,1,78,1.73,390,97.98720186154742
random,1,1,79,1.73,395,98.01628253640638
random,1,1,80,1.73,400,98.04475587703436
random,1,1,81,1.73,405,98.07156392821314
random,1,1,82,1.73,410,98.09869216397406
random,1,1,83,1.73,415,98.12608318890814
random,1,1,84,1.76,420,98.11965811965811
random,1,1,85,1.81,425,98.09232715008432
random,1,1,86,1.81,430,98.11772046589017
random,1,1,87,1.81,435,98.14435103547262
random,1,1,88,1.81,440,98.1711629786804
random,1,1,89,1.81,445,98.19631290483308
random,1,1,90,1.81,450,98.21990558615263
random,1,1,91,1.81,455,98.24288903989904
random,1,1,92,1.81,460,98.26445488541566
random,1,1,93,1.81,465,98.28630941109638
random,1,1,94,1.81,470,98.30682881197382
random,1,1,95,1.81,475,98.32670795969307
random,1,1,96,1.81,480,98.34612573099415
random,1,1,97,1.81,485,98.36657341395181
random,1,1,98,1.81,490,98.38738417676409
random,1,1,99,1.81,495,98.40781140042225
random,1,1,100,1.82,500,98.41904100069493
random,1,1,101,1.82,505,98.43843843843844
random,1,1,102,1.87,510,98.4149855907781
random,1,1,103,1.91,515,98.40046897244787
random,1,1,104,1.96,520,98.37775202780996
random,1,1,105,1.96,525,98.39580946145033
random,1,1,106,1.96,530,98.41295546558705
random,1,1,107,1.96,535,98.4296130117779
