strategy,run_id,map_seed,timestep,coverage,total_distance,sensing_redundancy,visit_overlap,num_clusters,num_active_drones,exploration_efficiency,mean_pairwise_distance,movement_efficiency,nodes_expanded
cluster_utility_frontier,1,1,1,0.32,5,71.42857142857143,0.0,0,0,1.0,1.3478708664619075,1.0,0
cluster_utility_frontier,1,1,2,0.32,10,86.32478632478633,37.5,2,3,0.5,0.9656854249492381,0.5,317
cluster_utility_frontier,1,1,3,0.36,15,89.62536023054754,53.84615384615385,2,2,0.4,1.2,0.4,398
cluster_utility_frontier,1,1,4,0.43,20,90.79229122055675,55.55555555555556,2,2,0.4,1.2242640687119288,0.4,398
cluster_utility_frontier,1,1,5,0.49,25,91.73693086003372,56.52173913043478,2,2,0.4,1.3478708664619077,0.4,398
cluster_utility_frontier,1,1,6,0.53,30,92.57703081232494,55.55555555555556,1,1,0.4,1.509083264970256,0.4,436
cluster_utility_frontier,1,1,7,0.61,35,92.60606060606061,53.125,1,1,0.42857142857142855,2.6487475676864216,0.42857142857142855,468
cluster_utility_frontier,1,1,8,0.6799999999999999,40,92.76595744680851,51.35135135135135,2,2,0.45,3.0830388280710332,0.45,612
cluster_utility_frontier,1,1,9,0.76,45,92.90382819794584,52.38095238095239,2,2,0.4444444444444444,3.0830388280710332,0.4444444444444444,612
cluster_utility_frontier,1,1,10,0.79,50,93.43853820598007,53.191489361702125,2,1,0.44,2.886353168444791,0.44,694
cluster_utility_frontier,1,1,11,0.8699999999999999,55,93.5171385991058,51.92307692307693,2,1,0.45454545454545453,3.3074587526397288,0.45454545454545453,694
cluster_utility_frontier,1,1,12,0.9299999999999999,60,93.7204591492235,50.877192982456144,2,1,0.4666666666666667,3.3099552952969105,0.4666666666666667,694
cluster_utility_frontier,1,1,13,0.97,65,93.9938080495356,50.0,2,1,0.47692307692307695,3.4326280925013757,0.47692307692307695,694
cluster_utility_frontier,1,1,14,1.03,70,94.11092052601487,50.74626865671642,2,3,0.4714285714285714,3.6813769390438464,0.4714285714285714,1640
cluster_utility_frontier,1,1,15,1.11,75,94.10515135422199,48.61111111111111,3,1,0.49333333333333335,4.491659928717023,0.49333333333333335,1789
cluster_utility_frontier,1,1,16,1.23,80,93.90183440753594,46.75324675324675,3,1,0.5125,5.22336454874435,0.5125,1789
cluster_utility_frontier,1,1,17,1.39,85,93.55287569573284,45.1219512195122,3,1,0.5294117647058824,5.2880701018895016,0.5294117647058824,1789
cluster_utility_frontier,1,1,18,1.55,90,93.24618736383442,43.67816091954023,4,4,0.5444444444444444,5.8187862945967375,0.5444444444444444,2273
cluster_utility_frontier,1,1,19,1.69,95,93.05669679539852,41.30434782608695,4,4,0.5684210526315789,6.430762284047967,0.5684210526315789,2273
cluster_utility_frontier,1,1,20,1.8599999999999999,100,92.78510473235066,39.175257731958766,5,1,0.59,6.640694524988677,0.59,2496
cluster_utility_frontier,1,1,21,1.9800000000000002,105,92.72593681116827,38.23529411764706,4,3,0.6,6.457146026400258,0.6,3061
cluster_utility_frontier,1,1,22,2.13,110,92.56803907885555,37.38317757009346,4,3,0.6090909090909091,6.457146026400258,0.6090909090909091,3061
cluster_utility_frontier,1,1,23,2.25,115,92.52739953503819,36.607142857142854,4,1,0.6173913043478261,6.225654806134343,0.6173913043478261,3312
cluster_utility_frontier,1,1,24,2.3800000000000003,120,92.45880861850443,35.8974358974359,6,2,0.625,6.517659021848277,0.625,3524
cluster_utility_frontier,1,1,25,2.5100000000000002,125,92.3962435625568,35.24590163934426,6,2,0.632,6.498855441622031,0.632,3524
cluster_utility_frontier,1,1,26,2.65,130,92.30992455020314,34.645669291338585,6,2,0.6384615384615384,6.498855441622031,0.6384615384615384,3524
cluster_utility_frontier,1,1,27,2.74,135,92.369813422445,35.11450381679389,6,3,0.6296296296296297,6.80459238773008,0.6296296296296297,4067
cluster_utility_frontier,1,1,28,2.82,140,92.45182012847965,34.81481481481482,6,1,0.6285714285714286,7.404059551865783,0.6285714285714286,4355
cluster_utility_frontier,1,1,29,2.8899999999999997,145,92.55346560164905,33.57142857142857,6,1,0.6413793103448275,7.91230344673526,0.6413793103448275,4355
cluster_utility_frontier,1,1,30,2.9899999999999998,150,92.57327372081471,32.63888888888889,5,3,0.6466666666666666,8.935281752265674,0.6466666666666666,5466
cluster_utility_frontier,1,1,31,3.1,155,92.5677295612563,31.756756756756754,5,3,0.6516129032258065,9.151692500042634,0.6516129032258065,5466
cluster_utility_frontier,1,1,32,3.2199999999999998,160,92.53938832252085,31.57894736842105,6,1,0.65,9.415541911433174,0.65,5605
cluster_utility_frontier,1,1,33,3.3300000000000005,165,92.53530598520511,31.41025641025641,7,2,0.6484848484848484,10.04582571244683,0.6484848484848484,6551
cluster_utility_frontier,1,1,34,3.42,170,92.57490230134607,31.25,7,2,0.6470588235294118,10.446987227790869,0.6470588235294118,6551
cluster_utility_frontier,1,1,35,3.53,175,92.56998526625974,31.515151515151512,5,1,0.6457142857142857,11.18280259102186,0.6457142857142857,6743
cluster_utility_frontier,1,1,36,3.6700000000000004,180,92.50408496732027,31.76470588235294,5,1,0.6444444444444445,11.943118952787518,0.6444444444444445,6743
cluster_utility_frontier,1,1,37,3.83,185,92.40230113072802,31.60919540229885,5,1,0.6432432432432432,12.328753013358746,0.6432432432432432,7116
cluster_utility_frontier,1,1,38,3.9899999999999998,190,92.30472516875604,31.46067415730337,9,2,0.6421052631578947,12.710184588766746,0.6421052631578947,7586
cluster_utility_frontier,1,1,39,4.06,195,92.38130981422405,31.318681318681318,7,1,0.6410256410256411,12.849405124084118,0.6410256410256411,8173
cluster_utility_frontier,1,1,40,4.15,200,92.41593567251462,31.182795698924732,8,1,0.64,13.657478471381477,0.64,8427
cluster_utility_frontier,1,1,41,4.26,205,92.40641711229947,30.36649214659686,7,2,0.6487804878048781,14.547270784418828,0.6487804878048781,9076
cluster_utility_frontier,1,1,42,4.3999999999999995,210,92.33849904231238,29.591836734693878,7,2,0.6571428571428571,15.539045909473112,0.6571428571428571,9076
cluster_utility_frontier,1,1,43,4.53,215,92.28936170212766,29.35323383084577,7,2,0.6604651162790698,16.104894542064585,0.6604651162790698,9076
cluster_utility_frontier,1,1,44,4.68,220,92.21556886227546,29.126213592233007,8,2,0.6636363636363637,16.658344483508863,0.6636363636363637,10133
cluster_utility_frontier,1,1,45,4.72,225,92.31145137644567,28.436018957345972,6,1,0.6711111111111111,16.658856811825398,0.6711111111111111,10210
cluster_utility_frontier,1,1,46,4.79,230,92.35556974146186,27.906976744186046,6,1,0.6739130434782609,17.190503870583875,0.6739130434782609,10544
cluster_utility_frontier,1,1,47,4.91,235,92.3197246988894,27.27272727272727,6,1,0.6808510638297872,17.77074139205822,0.6808510638297872,10953
cluster_utility_frontier,1,1,48,5.029999999999999,240,92.27342549923195,26.666666666666668,7,1,0.6875,18.83522271703545,0.6875,11029
cluster_utility_frontier,1,1,49,5.17,245,92.21033599517855,26.200873362445414,7,1,0.689795918367347,18.88805042088456,0.689795918367347,11512
cluster_utility_frontier,1,1,50,5.3100000000000005,250,92.1554143891269,25.64102564102564,10,1,0.696,19.240708159663214,0.696,11712
cluster_utility_frontier,1,1,51,5.41,255,92.1605564410955,25.630252100840334,10,2,0.6941176470588235,19.14012859980333,0.6941176470588235,12006
cluster_utility_frontier,1,1,52,5.48,260,92.21480323909647,25.6198347107438,11,1,0.6923076923076923,18.616302583475406,0.6923076923076923,12847
cluster_utility_frontier,1,1,53,5.53,265,92.30019493177389,25.203252032520325,10,1,0.6943396226415094,17.95592639004243,0.6943396226415094,13302
cluster_utility_frontier,1,1,54,5.66,270,92.27303754266212,24.701195219123505,10,1,0.7,18.11645812117535,0.7,13302
cluster_utility_frontier,1,1,55,5.83,275,92.19335832886985,24.21875,10,1,0.7054545454545454,18.11645812117535,0.7054545454545454,13302
cluster_utility_frontier,1,1,56,6.04,280,92.058900867736,23.754789272030653,8,3,0.7107142857142857,18.560133041302706,0.7107142857142857,15227
cluster_utility_frontier,1,1,57,6.239999999999999,285,91.9369427574622,23.308270676691727,9,1,0.7157894736842105,18.918499914675735,0.7157894736842105,16162
cluster_utility_frontier,1,1,58,6.4,290,91.869918699187,22.962962962962962,10,1,0.7172413793103448,18.72940825515688,0.7172413793103448,16784
cluster_utility_frontier,1,1,59,6.47,295,91.9276356830942,22.794117647058822,10,3,0.711864406779661,18.557912575039456,0.711864406779661,18544
cluster_utility_frontier,1,1,60,6.61,300,91.8985169751195,22.82608695652174,11,1,0.71,18.9154797703629,0.71,19076
cluster_utility_frontier,1,1,61,6.76,305,91.85836444658557,22.857142857142858,11,1,0.7081967213114754,19.204258991165553,0.7081967213114754,19076
cluster_utility_frontier,1,1,62,6.890000000000001,310,91.84325796140642,22.535211267605636,11,1,0.7096774193548387,19.662406310627574,0.7096774193548387,19076
cluster_utility_frontier,1,1,63,6.97,315,91.88780260707635,22.22222222222222,11,3,0.7111111111111111,19.290009098115135,0.7111111111111111,19506
cluster_utility_frontier,1,1,64,7.109999999999999,320,91.86219526153143,22.26027397260274,11,3,0.709375,19.231305221996465,0.709375,19506
cluster_utility_frontier,1,1,65,7.24,325,91.84776489134107,22.2972972972973,11,3,0.7076923076923077,19.766045762401127,0.7076923076923077,19506
cluster_utility_frontier,1,1,66,7.3999999999999995,330,91.8005540166205,21.92691029900332,15,2,0.7121212121212122,19.812708746557888,0.7121212121212122,20211
