strategy,run_id,map_seed,timestep,coverage,total_distance,sensing_redundancy,visit_overlap,num_clusters,num_active_drones,exploration_efficiency,mean_pairwise_distance,movement_efficiency,nodes_expanded
cluster_utility_frontier,5,5,1,0.32,5,71.42857142857143,0.0,0,0,1.0,1.3478708664619075,1.0,0
cluster_utility_frontier,5,5,2,0.38999999999999996,10,82.66666666666667,30.0,1,5,0.7,2.0482605577751234,0.7,928
cluster_utility_frontier,5,5,3,0.47000000000000003,15,86.37681159420289,40.0,1,5,0.6,2.5464212860798914,0.6,928
cluster_utility_frontier,5,5,4,0.5499999999999999,20,88.32271762208069,45.0,1,5,0.55,2.885866158533492,0.55,928
cluster_utility_frontier,5,5,5,0.63,25,89.55223880597015,44.0,4,1,0.56,3.1404587857665915,0.56,1029
cluster_utility_frontier,5,5,6,0.74,30,90.0,40.0,3,1,0.6,3.543822879713457,0.6,1121
cluster_utility_frontier,5,5,7,0.8500000000000001,35,90.3078677309008,36.36363636363637,3,2,0.6,4.063006822543604,0.6,1515
cluster_utility_frontier,5,5,8,0.95,40,90.67713444553483,31.57894736842105,5,2,0.65,4.085045469376553,0.65,1799
cluster_utility_frontier,5,5,9,1.04,45,91.06529209621993,32.55813953488372,5,2,0.6444444444444445,3.5301422436079797,0.6444444444444445,1799
cluster_utility_frontier,5,5,10,1.0699999999999998,50,91.82582123758594,31.25,5,1,0.66,3.671505170949235,0.66,1947
cluster_utility_frontier,5,5,11,1.1199999999999999,55,92.29711141678129,33.9622641509434,4,1,0.6363636363636364,4.260349273245844,0.6363636363636364,2110
cluster_utility_frontier,5,5,12,1.2,60,92.4953095684803,34.48275862068966,4,1,0.6333333333333333,4.465371867872135,0.6333333333333333,2267
cluster_utility_frontier,5,5,13,1.28,65,92.66055045871559,36.507936507936506,4,1,0.6153846153846154,4.45189353947034,0.6153846153846154,2267
cluster_utility_frontier,5,5,14,1.38,70,92.6945473795659,36.76470588235294,5,3,0.6142857142857143,5.179103514697148,0.6142857142857143,2671
cluster_utility_frontier,5,5,15,1.44,75,92.92035398230088,38.35616438356164,5,3,0.6,4.921883564752157,0.6,2671
cluster_utility_frontier,5,5,16,1.5599999999999998,80,92.84075263882515,38.46153846153847,5,3,0.6,5.087154075667671,0.6,2671
cluster_utility_frontier,5,5,17,1.66,85,92.8540680154972,38.55421686746988,7,3,0.6,5.628585362401311,0.6,3187
cluster_utility_frontier,5,5,18,1.77,90,92.81072298943947,38.63636363636363,9,1,0.6,5.900739147618207,0.6,3288
cluster_utility_frontier,5,5,19,1.8900000000000001,95,92.73356401384083,37.634408602150536,9,1,0.6105263157894737,5.900739147618207,0.6105263157894737,3288
cluster_utility_frontier,5,5,20,1.96,100,92.84671532846716,37.11340206185567,6,3,0.61,6.317573000668235,0.61,3749
cluster_utility_frontier,5,5,21,2.04,105,92.92649098474341,35.64356435643564,6,3,0.6190476190476191,6.2359487289195,0.6190476190476191,3749
cluster_utility_frontier,5,5,22,2.1399999999999997,110,92.93496203367448,34.61538461538461,5,1,0.6181818181818182,6.150427618328322,0.6181818181818182,4034
cluster_utility_frontier,5,5,23,2.23,115,92.97416509136735,34.25925925925926,5,1,0.6173913043478261,5.860872166962959,0.6173913043478261,4034
cluster_utility_frontier,5,5,24,2.32,120,93.00994275384153,34.51327433628318,6,1,0.6166666666666667,5.6884316777420825,0.6166666666666667,4094
cluster_utility_frontier,5,5,25,2.42,125,93.01183944556742,34.74576271186441,8,2,0.616,6.125619256832169,0.616,4355
cluster_utility_frontier,5,5,26,2.5100000000000002,130,93.03164908384231,34.146341463414636,8,2,0.6230769230769231,6.217890111664826,0.6230769230769231,4355
cluster_utility_frontier,5,5,27,2.6100000000000003,135,93.01391862955032,34.375,8,2,0.6222222222222222,7.139318170629801,0.6222222222222222,4355
cluster_utility_frontier,5,5,28,2.7,140,93.02325581395348,34.58646616541353,7,3,0.6214285714285714,7.307833047079811,0.6214285714285714,4665
cluster_utility_frontier,5,5,29,2.82,145,92.95704295704296,34.05797101449276,7,3,0.6275862068965518,7.514643650284766,0.6275862068965518,4665
cluster_utility_frontier,5,5,30,2.93,150,92.91928467858868,33.56643356643357,7,1,0.6333333333333333,8.101914204510145,0.6333333333333333,4922
cluster_utility_frontier,5,5,31,3.05,155,92.8688332943652,33.108108108108105,5,2,0.6387096774193548,8.067700477545294,0.6387096774193548,5347
cluster_utility_frontier,5,5,32,3.16,160,92.85229586066501,32.6797385620915,5,2,0.64375,7.988941097735366,0.64375,5347
cluster_utility_frontier,5,5,33,3.3000000000000003,165,92.77266754270697,31.645569620253166,5,2,0.6545454545454545,8.03967922813301,0.6545454545454545,5347
cluster_utility_frontier,5,5,34,3.3300000000000005,170,92.93143706219486,30.864197530864196,7,2,0.6588235294117647,7.653608085346586,0.6588235294117647,5677
cluster_utility_frontier,5,5,35,3.44,175,92.9159802306425,29.94011976047904,7,2,0.6685714285714286,8.6447801205531,0.6685714285714286,5677
cluster_utility_frontier,5,5,36,3.62,180,92.76144771045792,29.069767441860467,8,1,0.6777777777777778,9.678179790852658,0.6777777777777778,5834
