strategy,run_id,map_seed,timestep,coverage,total_distance,overlap_percentage
random,4,4,1,0.15,5,76.5625
random,4,4,2,0.2,10,85.40145985401459
random,4,4,3,0.25,15,88.68778280542986
random,4,4,4,0.25,20,91.72185430463577
random,4,4,5,0.27,25,92.95039164490862
random,4,4,6,0.27,30,94.23076923076923
random,4,4,7,0.27,35,95.09981851179673
random,4,4,8,0.27,40,95.72784810126582
random,4,4,9,0.27,45,96.17021276595744
random,4,4,10,0.27,50,96.53846153846153
random,4,4,11,0.27,55,96.82726204465335
random,4,4,12,0.3,60,96.73558215451578
random,4,4,13,0.33999999999999997,65,96.56565656565657
random,4,4,14,0.33999999999999997,70,96.78638941398866
random,4,4,15,0.36,75,96.81697612732096
random,4,4,16,0.36,80,97.01244813278008
random,4,4,17,0.36,85,97.19188767550702
random,4,4,18,0.36,90,97.37609329446065
random,4,4,19,0.38999999999999996,95,97.33242134062927
random,4,4,20,0.44999999999999996,100,97.10238248551192
random,4,4,21,0.44999999999999996,105,97.27602905569007
random,4,4,22,0.54,110,96.91780821917808
random,4,4,23,0.54,115,97.07792207792207
random,4,4,24,0.5499999999999999,120,97.17514124293785
random,4,4,25,0.5700000000000001,125,97.2181551976574
random,4,4,26,0.58,130,97.30232558139534
random,4,4,27,0.58,135,97.43249225320938
random,4,4,28,0.62,140,97.38286196707472
random,4,4,29,0.62,145,97.49798224374496
random,4,4,30,0.62,150,97.59503491078355
random,4,4,31,0.63,155,97.65625
random,4,4,32,0.63,160,97.74839170836312
random,4,4,33,0.67,165,97.69601100412655
random,4,4,34,0.73,170,97.5787728026534
random,4,4,35,0.79,175,97.4768444586394
random,4,4,36,0.79,180,97.5669849091469
random,4,4,37,0.79,185,97.65160523186682
random,4,4,38,0.8200000000000001,190,97.64773379231211
random,4,4,39,0.91,195,97.47432694976409
random,4,4,40,0.9900000000000001,200,97.34228187919463
random,4,4,41,1.01,205,97.38138449572207
random,4,4,42,1.05,210,97.36379613356766
random,4,4,43,1.13,215,97.24658869395711
random,4,4,44,1.16,220,97.24922930993597
random,4,4,45,1.21,225,97.20037019898196
random,4,4,46,1.27,230,97.13124011746103
random,4,4,47,1.34,235,97.05105633802818
random,4,4,48,1.38,240,97.03926196095259
random,4,4,49,1.38,245,97.1171923960727
random,4,4,50,1.38,250,97.19169719169719
random,4,4,51,1.44,255,97.14342392382463
random,4,4,52,1.48,260,97.1367769394467
random,4,4,53,1.5,265,97.17034521788341
random,4,4,54,1.54,270,97.16494845360825
random,4,4,55,1.6,275,97.12126664267721
random,4,4,56,1.66,280,97.07437433909058
random,4,4,57,1.69,285,97.08067023665573
random,4,4,58,1.7000000000000002,290,97.11864406779661
random,4,4,59,1.71,295,97.15994020926756
random,4,4,60,1.73,300,97.18103307805116
random,4,4,61,1.73,305,97.2355385107063
random,4,4,62,1.7500000000000002,310,97.25447128961406
random,4,4,63,1.78,315,97.2573189522342
random,4,4,64,1.8399999999999999,320,97.21465334544354
random,4,4,65,1.91,325,97.15858375483486
random,4,4,66,1.9300000000000002,330,97.17753729160573
random,4,4,67,1.9300000000000002,335,97.22461892436009
random,4,4,68,1.95,340,97.24186704384724
random,4,4,69,2.02,345,97.1928849360756
random,4,4,70,2.07,350,97.17483281015421
random,4,4,71,2.08,355,97.21291705748358
random,4,4,72,2.08,360,97.26099552278114
random,4,4,73,2.13,365,97.24093264248704
random,4,4,74,2.13,370,97.28524088707621
random,4,4,75,2.13,375,97.32814851981936
